prefecture,municipality,url,system_type,kaigiroku_tenant
群馬県,館林市議会,https://ssp.kaigiroku.net/tenant/tatebayashi/SpMinuteSearch.html,kaigiroku_ssp,tatebayashi
群馬県,渋川市議会,https://ssp.kaigiroku.net/tenant/shibukawa/MinuteSearch.html,kaigiroku_ssp,shibukawa
群馬県,渋川市議会,https://ssp.kaigiroku.net/tenant/shibukawa/SpMinuteSearch.html,kaigiroku_ssp,shibukawa
群馬県,藤岡市議会,http://fujioka.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
群馬県,藤岡市議会,http://fujioka.gijiroku.com/voices2/,gijiroku_com,
群馬県,富岡市議会,https://ssp.kaigiroku.net/tenant/tomioka/MinuteSearch.html,kaigiroku_ssp,tomioka
群馬県,富岡市議会,https://ssp.kaigiroku.net/tenant/tomioka/SpMinuteSearch.html,kaigiroku_ssp,tomioka
群馬県,安中市議会,https://ssp.kaigiroku.net/tenant/annaka/SpMinuteSearch.html,kaigiroku_ssp,annaka
群馬県,みどり市議会,https://ssp.kaigiroku.net/tenant/midori/MinuteSearch.html,kaigiroku_ssp,midori
群馬県,みどり市議会,https://ssp.kaigiroku.net/tenant/midori/SpMinuteSearch.html,kaigiroku_ssp,midori
群馬県,大泉町議会,https://ssp.kaigiroku.net/tenant/oizumi/MinuteSearch.html,kaigiroku_ssp,oizumi
埼玉県,埼玉県議会,https://ssp.kaigiroku.net/tenant/prefsaitama/MinuteSearch.html,kaigiroku_ssp,prefsaitama
埼玉県,埼玉県議会,https://ssp.kaigiroku.net/tenant/prefsaitama/SpMinuteSearch.html,kaigiroku_ssp,prefsaitama
埼玉県,さいたま市議会,https://ssp.kaigiroku.net/tenant/saitama/SpMinuteSearch.html,kaigiroku_ssp,saitama
埼玉県,さいたま市議会,https://www.discusscabinet.net/saitama/,discusscabinet,
埼玉県,川越市議会,https://www.city.kawagoe.saitama.dbsr.jp/index.php/,dbsr,
埼玉県,熊谷市議会,https://ssp.kaigiroku.net/tenant/kumagaya/MinuteSearch.html,kaigiroku_ssp,kumagaya
埼玉県,川口市議会,https://ssp.kaigiroku.net/tenant/kawaguchi/SpMinuteSearch.html,kaigiroku_ssp,kawaguchi
埼玉県,行田市議会,https://ssp.kaigiroku.net/tenant/gyoda/SpMinuteSearch.html,kaigiroku_ssp,gyoda
埼玉県,秩父市議会,https://ssp.kaigiroku.net/tenant/chichibu/MinuteSearch.html,kaigiroku_ssp,chichibu
埼玉県,秩父市議会,https://ssp.kaigiroku.net/tenant/chichibu/SpMinuteSearch.html,kaigiroku_ssp,chichibu
埼玉県,飯能市議会,https://ssp.kaigiroku.net/tenant/hanno/MinuteSearch.html,kaigiroku_ssp,hanno
